Mois,Immatriculations de nouveaux VE
Janvier 2011,100
Février,136
Mars,248
Avril,187
Ami,143
Juin,141
Juillet,64
Août,108
Septembre,301
Octobre,202
Novembre,466
Décembre,530
Janvier 2012,311
Février,406
Mars,483
Avril,395
Ami,564
Juin,112
Juillet,594
Août,960
Septembre,514
Octobre,763
Novembre,330
Décembre,231
Janvier 2013,250
Février,648
Mars,1350
Avril,940
Ami,688
Juin,903
Juillet,492
Août,403
Septembre,644
Octobre,1058
Novembre,694
Décembre,709
Janvier 2014,409
Février,411
Mars,709
Avril,821
Ami,902
Juin,1050
Juillet,743
Août,366
Septembre,1514
Octobre,1076
Novembre,911
Décembre,1643
Janvier 2015,619
Février,1084
Mars,1174
